/opt/miniconda3/envs/alon_env/lib/python3.9/site-packages/transformers/utils/generic.py:260: UserWarning: torch.utils._pytree._register_pytree_node is deprecated. Please use torch.utils._pytree.register_pytree_node instead.
  torch.utils._pytree._register_pytree_node(
##### CONTINUE TRAINING #####


## TEST RESULTS: ##
Test Loss: 0.22017294755622524		 Test MAE: 0.022717510163784028


Epoch 1981/2500: Training Loss: 0.16965148759924847		 Val Loss: 0.6173693615457286
             Training MAE: 0.052420489490032196		 Val MAE: 0.03807225823402405
             Algebraic dist: 7.251880590466485		 Val Algebraic dist: 17.272125244140625
             Algebraic sqr dist: 144.8076454936594	  Val Algebraic sqr dist: 610.6489470108696
             RE1 dist: 72.4038227468297		 Val RE1 dist: 305.3244735054348
             SED dist: 1.6107696312061255		 Val SED dist: 6.128658792246943


Epoch 1982/2500: Training Loss: 0.16645539325216543		 Val Loss: 0.7127236905305282
             Training MAE: 0.051848214119672775		 Val MAE: 0.04040845111012459
             Algebraic dist: 7.125947814056839		 Val Algebraic dist: 18.268766983695652
             Algebraic sqr dist: 137.76401154891303	  Val Algebraic sqr dist: 660.9526154891304
             RE1 dist: 68.88200577445652		 Val RE1 dist: 330.4763502038044
             SED dist: 1.5795180832130322		 Val SED dist: 7.079256140667459


Epoch 1983/2500: Training Loss: 0.16942409847093665		 Val Loss: 0.6943723015163256
             Training MAE: 0.05279947444796562		 Val MAE: 0.04143549129366875
             Algebraic dist: 7.43094093212183		 Val Algebraic dist: 18.198045813519023
             Algebraic sqr dist: 150.15421195652175	  Val Algebraic sqr dist: 669.1865658967391
             RE1 dist: 75.07710597826087		 Val RE1 dist: 334.59328294836956
             SED dist: 1.6071779555168704		 Val SED dist: 6.891608196756114


Epoch 1984/2500: Training Loss: 0.1715981441995372		 Val Loss: 0.6821123620738154
             Training MAE: 0.052335094660520554		 Val MAE: 0.04143109545111656
             Algebraic dist: 7.467179008152174		 Val Algebraic dist: 17.792942212975543
             Algebraic sqr dist: 151.6078464673913	  Val Algebraic sqr dist: 689.2340777853261
             RE1 dist: 75.80392323369566		 Val RE1 dist: 344.6170601222826
             SED dist: 1.6288341577502266		 Val SED dist: 6.770278267238451


Epoch 1985/2500: Training Loss: 0.16216087341308594		 Val Loss: 0.6512385658595873
             Training MAE: 0.052350807934999466		 Val MAE: 0.03948797658085823
             Algebraic dist: 7.118009705474411		 Val Algebraic dist: 17.48054836107337
             Algebraic sqr dist: 141.82789855072463	  Val Algebraic sqr dist: 669.8807744565217
             RE1 dist: 70.91394927536231		 Val RE1 dist: 334.9403872282609
             SED dist: 1.5347846210866734		 Val SED dist: 6.4635487432065215


Epoch 1986/2500: Training Loss: 0.16828618533369424		 Val Loss: 0.7099494104800017
             Training MAE: 0.05258908122777939		 Val MAE: 0.04015105217695236
             Algebraic dist: 7.351543924082881		 Val Algebraic dist: 18.267233143682066
             Algebraic sqr dist: 146.22882699275362	  Val Algebraic sqr dist: 715.8752547554348
             RE1 dist: 73.11442057291667		 Val RE1 dist: 357.9376273777174
             SED dist: 1.5958177870598391		 Val SED dist: 7.049443783967392


Epoch 1987/2500: Training Loss: 0.17209690204565076		 Val Loss: 0.7268708270529042
             Training MAE: 0.05295393243432045		 Val MAE: 0.03883722051978111
             Algebraic dist: 7.535456118376358		 Val Algebraic dist: 18.53447557532269
             Algebraic sqr dist: 156.21045629528984	  Val Algebraic sqr dist: 645.434909986413
             RE1 dist: 78.10522814764492		 Val RE1 dist: 322.7174549932065
             SED dist: 1.634045365927876		 Val SED dist: 7.223146521526834


Epoch 1988/2500: Training Loss: 0.16816974031752435		 Val Loss: 0.718070071676503
             Training MAE: 0.05299195647239685		 Val MAE: 0.04170699790120125
             Algebraic dist: 7.357220635897871		 Val Algebraic dist: 18.053249193274457
             Algebraic sqr dist: 149.42402626811594	  Val Algebraic sqr dist: 640.4336362092391
             RE1 dist: 74.71201313405797		 Val RE1 dist: 320.21681810461956
             SED dist: 1.5946297023607336		 Val SED dist: 7.129175600798233


Epoch 1989/2500: Training Loss: 0.1663955329121023		 Val Loss: 0.6859889652418054
             Training MAE: 0.052746448665857315		 Val MAE: 0.04051487520337105
             Algebraic dist: 7.223142319831295		 Val Algebraic dist: 17.91815185546875
             Algebraic sqr dist: 144.93298516757247	  Val Algebraic sqr dist: 668.9318953804348
             RE1 dist: 72.46649258378623		 Val RE1 dist: 334.4659476902174
             SED dist: 1.57642298159392		 Val SED dist: 6.810492474099864


Epoch 1990/2500: Training Loss: 0.16419101106947748		 Val Loss: 0.6627570027890413
             Training MAE: 0.052284613251686096		 Val MAE: 0.03857774659991264
             Algebraic dist: 7.133429043534873		 Val Algebraic dist: 17.325024148692254
             Algebraic sqr dist: 141.3368857563406	  Val Algebraic sqr dist: 619.1014775815217
             RE1 dist: 70.6684428781703		 Val RE1 dist: 309.55076002038044
             SED dist: 1.556161742279495		 Val SED dist: 6.582215682319973


Epoch 1991/2500: Training Loss: 0.1649001854053442		 Val Loss: 0.6753632089366084
             Training MAE: 0.0524313822388649		 Val MAE: 0.04017721861600876
             Algebraic dist: 7.176158075747282		 Val Algebraic dist: 17.320887026579484
             Algebraic sqr dist: 142.62226845561594	  Val Algebraic sqr dist: 637.8505859375
             RE1 dist: 71.31113422780797		 Val RE1 dist: 318.92529296875
             SED dist: 1.5632973270139832		 Val SED dist: 6.705709042756454


Epoch 1992/2500: Training Loss: 0.16777283212412958		 Val Loss: 0.7215686466382898
             Training MAE: 0.05248139798641205		 Val MAE: 0.039270687848329544
             Algebraic dist: 7.327642468438632		 Val Algebraic dist: 18.799031133237094
             Algebraic sqr dist: 148.42065783514494	  Val Algebraic sqr dist: 685.6583729619565
             RE1 dist: 74.21032891757247		 Val RE1 dist: 342.82918648097825
             SED dist: 1.5916640793067822		 Val SED dist: 7.168723728345788


Epoch 1993/2500: Training Loss: 0.16455861796503482		 Val Loss: 0.6701440811157227
             Training MAE: 0.05244169384241104		 Val MAE: 0.04088815301656723
             Algebraic dist: 7.184456203294837		 Val Algebraic dist: 17.57843548318614
             Algebraic sqr dist: 141.8248980978261	  Val Algebraic sqr dist: 628.8947860054348
             RE1 dist: 70.91244904891305		 Val RE1 dist: 314.4473930027174
             SED dist: 1.5595475348873415		 Val SED dist: 6.652079043181046


Epoch 1994/2500: Training Loss: 0.16579333595607593		 Val Loss: 0.6568786786950153
             Training MAE: 0.05278913676738739		 Val MAE: 0.03910345584154129
             Algebraic dist: 7.2137787307518115		 Val Algebraic dist: 17.93865966796875
             Algebraic sqr dist: 140.80069633152175	  Val Algebraic sqr dist: 650.2175611413044
             RE1 dist: 70.40034816576087		 Val RE1 dist: 325.1087805706522
             SED dist: 1.571645874908005		 Val SED dist: 6.522154434867527


Epoch 1995/2500: Training Loss: 0.16959982332975967		 Val Loss: 0.6871521991232167
             Training MAE: 0.052296631038188934		 Val MAE: 0.04069153219461441
             Algebraic dist: 7.3511038517606435		 Val Algebraic dist: 17.7848656695822
             Algebraic sqr dist: 145.5633350317029	  Val Algebraic sqr dist: 666.1742102581521
             RE1 dist: 72.78166751585145		 Val RE1 dist: 333.08710512907606
             SED dist: 1.6118992238804914		 Val SED dist: 6.821750806725544


Epoch 1996/2500: Training Loss: 0.17015124058377915		 Val Loss: 0.6923073893008025
             Training MAE: 0.05245446413755417		 Val MAE: 0.041669074445962906
             Algebraic dist: 7.396824491196784		 Val Algebraic dist: 18.673614501953125
             Algebraic sqr dist: 150.6838626585145	  Val Algebraic sqr dist: 721.7566236413044
             RE1 dist: 75.34193132925725		 Val RE1 dist: 360.8783118206522
             SED dist: 1.6162530650263247		 Val SED dist: 6.869975214419157


Epoch 1997/2500: Training Loss: 0.172380779100501		 Val Loss: 0.704473993052607
             Training MAE: 0.052316728979349136		 Val MAE: 0.04194607958197594
             Algebraic dist: 7.438261612601902		 Val Algebraic dist: 18.00331049380095
             Algebraic sqr dist: 148.20645097373188	  Val Algebraic sqr dist: 683.8118206521739
             RE1 dist: 74.10322548686594		 Val RE1 dist: 341.90595278532606
             SED dist: 1.6382988086645154		 Val SED dist: 6.992290330969769


Epoch 1998/2500: Training Loss: 0.17420486781908118		 Val Loss: 0.7075274923573369
             Training MAE: 0.052632685750722885		 Val MAE: 0.03877396881580353
             Algebraic dist: 7.545181053272192		 Val Algebraic dist: 18.738076914911684
             Algebraic sqr dist: 155.62954313858697	  Val Algebraic sqr dist: 674.1491593070652
             RE1 dist: 77.81477864583333		 Val RE1 dist: 337.07462211277175
             SED dist: 1.6544060085130774		 Val SED dist: 7.028097401494565


Epoch 1999/2500: Training Loss: 0.1702136164126189		 Val Loss: 0.7225782145624575
             Training MAE: 0.05335225164890289		 Val MAE: 0.043422337621450424
             Algebraic dist: 7.529531285382699		 Val Algebraic dist: 18.37163775900136
             Algebraic sqr dist: 153.4780910326087	  Val Algebraic sqr dist: 702.9245074728261
             RE1 dist: 76.73904551630434		 Val RE1 dist: 351.4622749660326
             SED dist: 1.613069064375283		 Val SED dist: 7.168949293053669


Epoch 2000/2500: Training Loss: 0.1697231790293818		 Val Loss: 0.6343838235606318
             Training MAE: 0.05251491069793701		 Val MAE: 0.039830420166254044
             Algebraic dist: 7.377814251443614		 Val Algebraic dist: 17.62183678668478
             Algebraic sqr dist: 148.53788779438406	  Val Algebraic sqr dist: 607.2305112092391
             RE1 dist: 74.26894389719203		 Val RE1 dist: 303.6152768342391
             SED dist: 1.6099831401437954		 Val SED dist: 6.29481373662534


Epoch 2001/2500: Training Loss: 0.1646264394124349		 Val Loss: 0.6847357542618461
             Training MAE: 0.05182235315442085		 Val MAE: 0.0417315810918808
             Algebraic dist: 7.277640964673913		 Val Algebraic dist: 17.895537003226902
             Algebraic sqr dist: 143.7676913496377	  Val Algebraic sqr dist: 674.225925611413
             RE1 dist: 71.88384567481884		 Val RE1 dist: 337.1129628057065
             SED dist: 1.5619818645974863		 Val SED dist: 6.795903744904892


Epoch 2002/2500: Training Loss: 0.1746284097865008		 Val Loss: 0.6717708836431089
             Training MAE: 0.052433647215366364		 Val MAE: 0.03925958275794983
             Algebraic dist: 7.323908266813858		 Val Algebraic dist: 17.528792671535324
             Algebraic sqr dist: 151.22874207427537	  Val Algebraic sqr dist: 625.5017832880435
             RE1 dist: 75.61437103713769		 Val RE1 dist: 312.75089164402175
             SED dist: 1.6599647411401721		 Val SED dist: 6.670418117357337


Epoch 2003/2500: Training Loss: 0.19214133939881256		 Val Loss: 0.7196578979492188
             Training MAE: 0.053144410252571106		 Val MAE: 0.03887860104441643
             Algebraic dist: 8.040320354959238		 Val Algebraic dist: 18.504759415336277
             Algebraic sqr dist: 173.4246914628623	  Val Algebraic sqr dist: 644.5539232336956
             RE1 dist: 86.71234573143116		 Val RE1 dist: 322.2769828464674
             SED dist: 1.8324017732039741		 Val SED dist: 7.149451877759851


Epoch 2004/2500: Training Loss: 0.18379216954328012		 Val Loss: 0.6755450290182362
             Training MAE: 0.05160166323184967		 Val MAE: 0.04601265490055084
             Algebraic dist: 7.89004295459692		 Val Algebraic dist: 18.5812231976053
             Algebraic sqr dist: 170.4475345335145	  Val Algebraic sqr dist: 677.4760529891304
             RE1 dist: 85.22376726675725		 Val RE1 dist: 338.7380689538044
             SED dist: 1.7549435159434443		 Val SED dist: 6.692454462466032


Epoch 2005/2500: Training Loss: 0.18467612888502039		 Val Loss: 0.6431282706882643
             Training MAE: 0.05244028568267822		 Val MAE: 0.04686836525797844
             Algebraic dist: 7.688393413156703		 Val Algebraic dist: 17.471517811650816
             Algebraic sqr dist: 164.64673913043478	  Val Algebraic sqr dist: 638.3220533288044
             RE1 dist: 82.32336956521739		 Val RE1 dist: 319.1610266644022
             SED dist: 1.7610917022262795		 Val SED dist: 6.368436730426291


Epoch 2006/2500: Training Loss: 0.1713253795236781		 Val Loss: 0.6535608042841372
             Training MAE: 0.05287790298461914		 Val MAE: 0.041267625987529755
             Algebraic dist: 7.443426602128623		 Val Algebraic dist: 17.878514828889266
             Algebraic sqr dist: 154.48958333333334	  Val Algebraic sqr dist: 639.1321331521739
             RE1 dist: 77.24479874320652		 Val RE1 dist: 319.56606657608694
             SED dist: 1.6270227846891985		 Val SED dist: 6.484179952870244


Epoch 2007/2500: Training Loss: 0.16611918850221497		 Val Loss: 0.6964893341064453
             Training MAE: 0.05352626368403435		 Val MAE: 0.04033166542649269
             Algebraic dist: 7.17137256567029		 Val Algebraic dist: 17.97112108313519
             Algebraic sqr dist: 147.6973930027174	  Val Algebraic sqr dist: 657.9047214673913
             RE1 dist: 73.84868942481884		 Val RE1 dist: 328.9523607336956
             SED dist: 1.57179846279863		 Val SED dist: 6.915575773819633


Epoch 2008/2500: Training Loss: 0.16386044543722403		 Val Loss: 0.6824875707211702
             Training MAE: 0.052613500505685806		 Val MAE: 0.040335990488529205
             Algebraic dist: 7.135808530061142		 Val Algebraic dist: 18.08498880137568
             Algebraic sqr dist: 141.81462296195653	  Val Algebraic sqr dist: 628.5439028532609
             RE1 dist: 70.90731148097827		 Val RE1 dist: 314.27195142663044
             SED dist: 1.5506988746532495		 Val SED dist: 6.775979746942935


Epoch 2009/2500: Training Loss: 0.16791385153065558		 Val Loss: 0.6924792994623599
             Training MAE: 0.052211061120033264		 Val MAE: 0.040267303586006165
             Algebraic dist: 7.207266544950182		 Val Algebraic dist: 18.068419083305027
             Algebraic sqr dist: 144.95945142663044	  Val Algebraic sqr dist: 678.5641983695652
             RE1 dist: 72.47972571331522		 Val RE1 dist: 339.2820991847826
             SED dist: 1.594550975854846		 Val SED dist: 6.876080056895381


Epoch 2010/2500: Training Loss: 0.17632329636725827		 Val Loss: 0.7165985107421875
             Training MAE: 0.053783949464559555		 Val MAE: 0.04393680393695831
             Algebraic dist: 7.498590884001358		 Val Algebraic dist: 18.931972337805707
             Algebraic sqr dist: 155.7769333106884	  Val Algebraic sqr dist: 655.1416864809783
             RE1 dist: 77.8884666553442		 Val RE1 dist: 327.5708432404891
             SED dist: 1.6740974757982336		 Val SED dist: 7.110899552055027


Epoch 2011/2500: Training Loss: 0.16774588045866592		 Val Loss: 0.6972725909689198
             Training MAE: 0.05422436073422432		 Val MAE: 0.042348917573690414
             Algebraic dist: 7.395530811254529		 Val Algebraic dist: 18.504597539487094
             Algebraic sqr dist: 152.2996914628623	  Val Algebraic sqr dist: 710.7491508152174
             RE1 dist: 76.14984573143116		 Val RE1 dist: 355.3745754076087
             SED dist: 1.5861837414727695		 Val SED dist: 6.9200439453125


Epoch 2012/2500: Training Loss: 0.16680825274923575		 Val Loss: 0.6968443497367527
             Training MAE: 0.05280796065926552		 Val MAE: 0.040384579449892044
             Algebraic dist: 7.236572265625		 Val Algebraic dist: 18.02996295431386
             Algebraic sqr dist: 144.93417402626812	  Val Algebraic sqr dist: 696.7439283288044
             RE1 dist: 72.4670940896739		 Val RE1 dist: 348.3719641644022
             SED dist: 1.580492655436198		 Val SED dist: 6.919839610224185


Epoch 2013/2500: Training Loss: 0.17857253033181894		 Val Loss: 0.7527785093887992
             Training MAE: 0.05228107050061226		 Val MAE: 0.04313799738883972
             Algebraic dist: 7.618494006170743		 Val Algebraic dist: 17.889379086701766
             Algebraic sqr dist: 158.0852439990942	  Val Algebraic sqr dist: 638.0037788722826
             RE1 dist: 79.0426219995471		 Val RE1 dist: 319.0018894361413
             SED dist: 1.701002812040025		 Val SED dist: 7.472219052522079


Epoch 2014/2500: Training Loss: 0.18119922582653986		 Val Loss: 0.7180443639340608
             Training MAE: 0.053822584450244904		 Val MAE: 0.041429344564676285
             Algebraic dist: 7.659468941066576		 Val Algebraic dist: 19.287074876868207
             Algebraic sqr dist: 164.1031051856884	  Val Algebraic sqr dist: 685.5803753396739
             RE1 dist: 82.0515525928442		 Val RE1 dist: 342.79018766983694
             SED dist: 1.7239588861880095		 Val SED dist: 7.129610144573709


Epoch 2015/2500: Training Loss: 0.18171857750934103		 Val Loss: 0.6896471769913383
             Training MAE: 0.05247461050748825		 Val MAE: 0.03953549265861511
             Algebraic dist: 7.6780200902966484		 Val Algebraic dist: 18.826640253481656
             Algebraic sqr dist: 167.50318444293478	  Val Algebraic sqr dist: 655.7247367527174
             RE1 dist: 83.75159222146739		 Val RE1 dist: 327.86238960597825
             SED dist: 1.7323469079059104		 Val SED dist: 6.847842672596807


Epoch 2016/2500: Training Loss: 0.17450985010119452		 Val Loss: 0.6631840830263884
             Training MAE: 0.052405182272195816		 Val MAE: 0.042204372584819794
             Algebraic dist: 7.53514209692029		 Val Algebraic dist: 18.31881979237432
             Algebraic sqr dist: 154.19771852355072	  Val Algebraic sqr dist: 715.6067425271739
             RE1 dist: 77.09885926177536		 Val RE1 dist: 357.80337126358694
             SED dist: 1.6596873186636663		 Val SED dist: 6.576906287151834


Epoch 2017/2500: Training Loss: 0.16748525094294894		 Val Loss: 0.7204711748206097
             Training MAE: 0.05292404070496559		 Val MAE: 0.04012943431735039
             Algebraic dist: 7.316641544950182		 Val Algebraic dist: 17.707057787024457
             Algebraic sqr dist: 148.28924649003622	  Val Algebraic sqr dist: 625.7649031929348
             RE1 dist: 74.14463032155797		 Val RE1 dist: 312.8824515964674
             SED dist: 1.5876970152924026		 Val SED dist: 7.155721913213315


Epoch 2018/2500: Training Loss: 0.16599500352057858		 Val Loss: 0.6859037565148395
             Training MAE: 0.053042784333229065		 Val MAE: 0.04055369645357132
             Algebraic dist: 7.265260558197464		 Val Algebraic dist: 17.80988610309103
             Algebraic sqr dist: 146.75758605072463	  Val Algebraic sqr dist: 665.3716881793479
             RE1 dist: 73.37879302536231		 Val RE1 dist: 332.6858653192935
             SED dist: 1.5724131266276042		 Val SED dist: 6.810323963994565


Epoch 2019/2500: Training Loss: 0.16555263685143512		 Val Loss: 0.6578316895858102
             Training MAE: 0.05190354958176613		 Val MAE: 0.03828244283795357
             Algebraic dist: 7.178714475769928		 Val Algebraic dist: 17.432112984035324
             Algebraic sqr dist: 146.65535835597825	  Val Algebraic sqr dist: 627.9865828804348
             RE1 dist: 73.32767917798913		 Val RE1 dist: 313.99331266983694
             SED dist: 1.5714201996291892		 Val SED dist: 6.5339527959408965


Epoch 2020/2500: Training Loss: 0.1745325033215509		 Val Loss: 0.6210016582323157
             Training MAE: 0.0527055598795414		 Val MAE: 0.04141377657651901
             Algebraic dist: 7.557648147361866		 Val Algebraic dist: 17.607916790506113
             Algebraic sqr dist: 155.47371773097825	  Val Algebraic sqr dist: 631.9621263586956
             RE1 dist: 77.73685886548913		 Val RE1 dist: 315.9810631793478
             SED dist: 1.6603507442750793		 Val SED dist: 6.159658017365829


Epoch 2021/2500: Training Loss: 0.16711138296818387		 Val Loss: 0.664450272269871
             Training MAE: 0.05251907557249069		 Val MAE: 0.04034221172332764
             Algebraic dist: 7.212034363677536		 Val Algebraic dist: 18.038694962211277
             Algebraic sqr dist: 140.4443642436594	  Val Algebraic sqr dist: 670.1430451766304
             RE1 dist: 70.2221821218297		 Val RE1 dist: 335.0715225883152
             SED dist: 1.5854888031448142		 Val SED dist: 6.595413871433424


Epoch 2022/2500: Training Loss: 0.1676168856413468		 Val Loss: 0.6528335239576257
             Training MAE: 0.052487269043922424		 Val MAE: 0.03902518004179001
             Algebraic dist: 7.2581309442934785		 Val Algebraic dist: 17.729322350543477
             Algebraic sqr dist: 146.6728798686594	  Val Algebraic sqr dist: 608.2283882472826
             RE1 dist: 73.3364399343297		 Val RE1 dist: 304.1141941236413
             SED dist: 1.5903186521668364		 Val SED dist: 6.482766856317935


Epoch 2023/2500: Training Loss: 0.17327651424684387		 Val Loss: 0.6774522947228473
             Training MAE: 0.051698993891477585		 Val MAE: 0.04015000909566879
             Algebraic dist: 7.346636343693388		 Val Algebraic dist: 17.735472305961277
             Algebraic sqr dist: 149.56315104166666	  Val Algebraic sqr dist: 649.8790760869565
             RE1 dist: 74.78157552083333		 Val RE1 dist: 324.9395592730978
             SED dist: 1.648821623429008		 Val SED dist: 6.726172405740489


Epoch 2024/2500: Training Loss: 0.16539353909699814		 Val Loss: 0.7075237605882727
             Training MAE: 0.05276777967810631		 Val MAE: 0.04152727127075195
             Algebraic dist: 7.2392303909080615		 Val Algebraic dist: 18.071892779806387
             Algebraic sqr dist: 142.5774314990942	  Val Algebraic sqr dist: 646.8396739130435
             RE1 dist: 71.2887157495471		 Val RE1 dist: 323.41983695652175
             SED dist: 1.5672881637794385		 Val SED dist: 7.023214588994565


Epoch 2025/2500: Training Loss: 0.16518367546192114		 Val Loss: 0.6717369660087253
             Training MAE: 0.052754588425159454		 Val MAE: 0.03901391103863716
             Algebraic dist: 7.185239930083786		 Val Algebraic dist: 17.75410793138587
             Algebraic sqr dist: 142.8162647192029	  Val Algebraic sqr dist: 628.6751868206521
             RE1 dist: 71.40813235960145		 Val RE1 dist: 314.33759341032606
             SED dist: 1.566063922384511		 Val SED dist: 6.670406839121943


Epoch 2026/2500: Training Loss: 0.16324978980465213		 Val Loss: 0.7459239130434783
             Training MAE: 0.05195052549242973		 Val MAE: 0.039628420025110245
             Algebraic dist: 7.113621808480525		 Val Algebraic dist: 18.596403702445652
             Algebraic sqr dist: 143.53075464221016	  Val Algebraic sqr dist: 660.7647758152174
             RE1 dist: 71.76537732110508		 Val RE1 dist: 330.3823879076087
             SED dist: 1.5477378955785779		 Val SED dist: 7.411000127377718


Epoch 2027/2500: Training Loss: 0.1661436937857365		 Val Loss: 0.6587233336075492
             Training MAE: 0.052243996411561966		 Val MAE: 0.04168648272752762
             Algebraic dist: 7.253296340721241		 Val Algebraic dist: 17.30103998598845
             Algebraic sqr dist: 144.6310009057971	  Val Algebraic sqr dist: 613.6156589673913
             RE1 dist: 72.31550045289855		 Val RE1 dist: 306.8078294836956
             SED dist: 1.5761509770932405		 Val SED dist: 6.536721934442935


Epoch 2028/2500: Training Loss: 0.1651922999948695		 Val Loss: 0.707672699638035
             Training MAE: 0.05220417678356171		 Val MAE: 0.040758147835731506
             Algebraic dist: 7.142722309499547		 Val Algebraic dist: 18.185350501019023
             Algebraic sqr dist: 141.4679291213768	  Val Algebraic sqr dist: 655.8109714673913
             RE1 dist: 70.7339645606884		 Val RE1 dist: 327.9055494225544
             SED dist: 1.5666233007458672		 Val SED dist: 7.027929554814878


Epoch 2029/2500: Training Loss: 0.16590582806131113		 Val Loss: 0.6967186305833899
             Training MAE: 0.052237533032894135		 Val MAE: 0.041043058037757874
             Algebraic dist: 7.139321147531703		 Val Algebraic dist: 17.820855182150137
             Algebraic sqr dist: 143.95015285326087	  Val Algebraic sqr dist: 627.3586107336956
             RE1 dist: 71.97507642663044		 Val RE1 dist: 313.6793053668478
             SED dist: 1.57305908203125		 Val SED dist: 6.917049905528193


Epoch 2030/2500: Training Loss: 0.1645999991375467		 Val Loss: 0.6901186652805494
             Training MAE: 0.05276256427168846		 Val MAE: 0.039270464330911636
             Algebraic dist: 7.173656961192256		 Val Algebraic dist: 18.06224126401155
             Algebraic sqr dist: 141.0491111865942	  Val Algebraic sqr dist: 681.9658203125
             RE1 dist: 70.5245555932971		 Val RE1 dist: 340.98291015625
             SED dist: 1.5592044332753057		 Val SED dist: 6.854396654211956


Epoch 2031/2500: Training Loss: 0.16927246425462805		 Val Loss: 0.7437422379203464
             Training MAE: 0.05204157158732414		 Val MAE: 0.03955009579658508
             Algebraic dist: 7.4319732223731885		 Val Algebraic dist: 19.258525019106656
             Algebraic sqr dist: 154.4758548460145	  Val Algebraic sqr dist: 715.8795006793479
             RE1 dist: 77.23792742300725		 Val RE1 dist: 357.93975033967394
             SED dist: 1.6075106634609941		 Val SED dist: 7.389799035113791


Epoch 2032/2500: Training Loss: 0.16787048008130945		 Val Loss: 0.6433298276818317
             Training MAE: 0.052040595561265945		 Val MAE: 0.0407429076731205
             Algebraic dist: 7.300641488337862		 Val Algebraic dist: 18.47829006029212
             Algebraic sqr dist: 144.85985620471016	  Val Algebraic sqr dist: 660.9362262228261
             RE1 dist: 72.42992810235508		 Val RE1 dist: 330.46811311141306
             SED dist: 1.5929772197336391		 Val SED dist: 6.382938550866169


Epoch 2033/2500: Training Loss: 0.16353666609612064		 Val Loss: 0.6615603903065557
             Training MAE: 0.05242425948381424		 Val MAE: 0.03917139023542404
             Algebraic dist: 7.247973013615263		 Val Algebraic dist: 17.3864918584409
             Algebraic sqr dist: 144.35286458333334	  Val Algebraic sqr dist: 684.7100458559783
             RE1 dist: 72.17643229166667		 Val RE1 dist: 342.3550441576087
             SED dist: 1.5483831875566123		 Val SED dist: 6.569004224694294


Epoch 2034/2500: Training Loss: 0.16770773348600967		 Val Loss: 0.6595303493997325
             Training MAE: 0.05217721685767174		 Val MAE: 0.03869173303246498
             Algebraic dist: 7.312277088994565		 Val Algebraic dist: 17.612846042798914
             Algebraic sqr dist: 145.3250396286232	  Val Algebraic sqr dist: 625.7819293478261
             RE1 dist: 72.6625198143116		 Val RE1 dist: 312.89096467391306
             SED dist: 1.5906087903008945		 Val SED dist: 6.5498219365658965


Epoch 2035/2500: Training Loss: 0.16504367883654608		 Val Loss: 0.6795501294343368
             Training MAE: 0.05218587815761566		 Val MAE: 0.03981022909283638
             Algebraic dist: 7.098946391672328		 Val Algebraic dist: 18.08529928456182
             Algebraic sqr dist: 139.62328747735506	  Val Algebraic sqr dist: 641.80859375
             RE1 dist: 69.81164373867753		 Val RE1 dist: 320.904296875
             SED dist: 1.564837580141814		 Val SED dist: 6.747003969938858


Epoch 2036/2500: Training Loss: 0.16882731949073682		 Val Loss: 0.6696677415267281
             Training MAE: 0.052271272987127304		 Val MAE: 0.04279748350381851
             Algebraic dist: 7.281902810801631		 Val Algebraic dist: 18.168853759765625
             Algebraic sqr dist: 144.8807461503623	  Val Algebraic sqr dist: 792.1697520380435
             RE1 dist: 72.44037307518116		 Val RE1 dist: 396.08487601902175
             SED dist: 1.6009692869324614		 Val SED dist: 6.642848802649456


Epoch 2037/2500: Training Loss: 0.1751817620318869		 Val Loss: 0.6513566556184188
             Training MAE: 0.053604405373334885		 Val MAE: 0.03869662806391716
             Algebraic dist: 7.648637412250906		 Val Algebraic dist: 17.584728738536004
             Algebraic sqr dist: 157.59728826992753	  Val Algebraic sqr dist: 641.645847486413
             RE1 dist: 78.79864413496377		 Val RE1 dist: 320.8228812839674
             SED dist: 1.6619493788567141		 Val SED dist: 6.467835136081861


Epoch 2038/2500: Training Loss: 0.1598619378131369		 Val Loss: 0.6857179558795431
             Training MAE: 0.05242851749062538		 Val MAE: 0.0399019829928875
             Algebraic dist: 7.114123358242754		 Val Algebraic dist: 18.203619915506113
             Algebraic sqr dist: 135.89532382246378	  Val Algebraic sqr dist: 671.4383067255435
             RE1 dist: 67.94766191123189		 Val RE1 dist: 335.71915336277175
             SED dist: 1.5109233026919158		 Val SED dist: 6.809117192807405


Epoch 2039/2500: Training Loss: 0.16612514551135077		 Val Loss: 0.6767191679581351
             Training MAE: 0.051828596740961075		 Val MAE: 0.04064919799566269
             Algebraic dist: 7.17506298120471		 Val Algebraic dist: 17.805685292119566
             Algebraic sqr dist: 140.186084692029	  Val Algebraic sqr dist: 648.8162788722826
             RE1 dist: 70.09304942255434		 Val RE1 dist: 324.408203125
             SED dist: 1.5769768314085144		 Val SED dist: 6.718361896017323


Epoch 2040/2500: Training Loss: 0.16435762764751047		 Val Loss: 0.7039505502452021
             Training MAE: 0.05196063220500946		 Val MAE: 0.041483212262392044
             Algebraic dist: 7.208234261775362		 Val Algebraic dist: 18.04454106869905
             Algebraic sqr dist: 142.73502604166666	  Val Algebraic sqr dist: 650.6376528532609
             RE1 dist: 71.36751302083333		 Val RE1 dist: 325.31882642663044
